ORIGSYSREF,ORDERNUMBER,COUNTRY,BOOKINGDATE,ORDERTYPE,KEYCODE,SALESCHANNEL,SOURCE,MEDIUM,CAMPAIGN,DEVICE,TOPLEVELCATEGORY,ORDERS,REVENUE_NET_LCL,REVENUE_NET_USD,REVENUE_NET_USD_CONS_CURR,FTBS,FTB_REVENUE_NET_LCL,FTB_REVENUE_NET_USD,FTB_REVENUE_NET_USD_CONS_CURR,PRODUCT_REVENUE_LCL,PRODUCT_REVENUE_USD_CONS_CURR,PRODUCTS,QUANTITY,DISCOUNT_LCL,DISCOUNT_USD_CONS_CURR,DISCOUNTED_ORDER,ITEMCOST_LCL,ITEMCOST_USD,ITEMCOST_USD_CONS_CURR,GROSS_MARGIN_LCL,GROSS_MARGIN_USD,RN,CHANNEL_L1,BBSTATUS
ONZF9QY-17Z67-6F6,51802227,DE,25/09/24,DE_MO EO UPSELL TUNIS,,MO,,,,,,1,342.99,366.9993,387.5787,0,0,0,0,317.990728,359.3295226,0.99981585,199.9940391,0,0,,1729.449576,74.3698575,1954.278021,-1386.51,292.6293,1,MO,INITIAL
ONZF2ZC-89Q68-8S2,46311076,US,25/08/22,TMT Inbound WB-NPC MB,,WB,,,,,inbound,1,93.84,93.84,93.84,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Web Inbound,INITIAL
ONAY4FU-12T20-6G0,51179020,US,07/05/24,TMT TUNIS,,TM,,,,,,1,352.9,352.9,352.9,0,0,0,0,268.923796,268.923796,0.9997657,699.8017587,0,0,,105.1102169,105.1102169,105.1102169,247.76,247.76,1,TM,INITIAL
ONXD4XI-36D62-4I8,58829197,US,07/05/26,WB-CATALOG,,WB,mo_returning sampled,mo_returning sampled,mo_returning sampled,desktop,web,1,817.98,817.98,817.98,0,0,0,0,729.9821533,729.9821533,0.99957156,699.9831131,0,0,,167.435909,167.435909,167.435909,650.54,650.54,1,MO_Returning Sampled,INITIAL
42826128404,42826128404,US,10/11/20,WB-CATALOG,NPC NA,WB,(direct),(none),(not set),desktop,web,1,107,107,107,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Direct,INITIAL
ONCT9SY-94K79-1E7,51640707,US,29/08/24,PCT - WEB,,MO,,,,,,1,140.94,140.94,140.94,0,0,0,0,94.95957514,94.95957514,0.99954648,99.9574668,0,0,,27.54827193,27.54827193,27.54827193,113.38,113.38,1,MO,INITIAL
42527617030,42527617030,US,09/02/20,WB-CATALOG,NPC NA,WB,google,organic,(not set),desktop,web,1,87.44,87.44,87.44,1,87.44,87.44,87.44,0,0,0,0,0,0,,0,0,0,0,0,1,Organic Search,INITIAL
42562341775,42562341775,US,10/06/20,WEB-EMAIL,NPC NA,WB,email,webpush,061020_5pf_ballpoint_remail,desktop,email,1,75.09,75.09,75.09,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Email Web Push,INITIAL
ONTY8FA-79O30-0R9,51468736,US,25/07/24,WB-CATALOG,,WB,(direct),(none),(not set),desktop,web,1,99.5,99.5,99.5,1,99.5,99.5,99.5,79.1025,79.1025,0.995,49.75,0,0,,11.98975,11.9798,11.98975,87.45,87.46,1,Direct,INITIAL
ONPP9WD-28O99-6P2,56276226,IT,12/12/25,WBIT_ABC WEB ORDER,,WB,facebook,paid_social,it_it_meta_q1fy25_sales_prospecting-advantage -pens_7day_01/9/24,mobile,web,1,321.88,344.4116,363.7244,1,321.88,344.4116,363.7244,261.8023984,295.8367102,1.99919668,79.97012036,0,0,,103.3014892,115.5480908,116.7306827,218.54,229.0016,1,Social Media,INITIAL
ONWI2NA-49O22-4D7,58911437,US,13/05/26,TM MB,,TM,,,,,,1,151.19,151.19,151.19,0,0,0,0,95.36985069,95.36985069,1.00133137,125.1573499,0,0,,27.54461516,27.54461516,27.54461516,123.68,123.68,1,TM,INITIAL
10115823,22934477,DE,05/11/19,DE_WEB INBOUND,TDELAJ,WB,,,,,inbound,-1,-107.1,-116.8122,-121.023,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,Web Inbound,UPDATE
ONHX8FN-08H44-3J5,51282496,US,07/06/24,TM TUNIS,,TM,,,,,,1,443.66,443.66,443.66,0,0,0,0,347.4936959,347.4936959,0.99912232,199.846647,30.21684324,30.21684324,51282496,154.8613198,154.8613198,154.8613198,288.68,288.68,1,TM,INITIAL
ONYV1OG-96Y84-2X2,49188839,AU,17/07/23,AU_WEB INBOUND TUNIS,,WB,,,,,inbound,1,238.99,155.3435,150.5637,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,1,Web Inbound,INITIAL
